index;dia;mes;ano;valor
0;29;8;2016;9
1;30;8;2016;1.6
2;31;8;2016;15311.7
3;1;9;2016;13932.67
4;2;9;2016;11535.45
5;3;9;2016;25864.32
6;4;9;2016;161344.35
7;7;9;2016;46380.31
8;8;9;2016;7341.94
9;9;9;2016;20184.57
10;10;9;2016;28359.77
11;11;9;2016;91701.65
12;14;9;2016;14836.67
13;15;9;2016;12446.2
14;16;9;2016;12083.45
15;17;9;2016;31864.65
16;18;9;2016;94610.57
17;21;9;2016;16865.56
18;22;9;2016;9134.95
19;23;9;2016;17733.3
20;25;9;2016;115505.5
21;26;9;2016;580.4
22;28;9;2016;18110.85
23;29;9;2016;7492.46
24;30;9;2016;5652.1
25;1;10;2016;84379.41
26;2;10;2016;87796.85
27;5;10;2016;16684.48
28;6;10;2016;6360.95
29;7;10;2016;13873.31
30;9;10;2016;115539.86
31;12;10;2016;45896.42
32;13;10;2016;9263.35
33;14;10;2016;16608.95
34;15;10;2016;34298.47
35;16;10;2016;107380.51
36;19;10;2016;17286.2
37;20;10;2016;13796.52
38;22;10;2016;28131.4
39;23;10;2016;180306
40;24;10;2016;17470.5
41;26;10;2016;18333.5
42;27;10;2016;8433.4
43;28;10;2016;22833.82
44;29;10;2016;97922.93
45;30;10;2016;116982.02
46;31;10;2016;481.7
47;1;11;2016;12352.9
48;2;11;2016;29780.4
49;3;11;2016;9763.25
50;4;11;2016;27328.31
51;5;11;2016;85893.22
52;6;11;2016;119261.15
53;9;11;2016;16293.76
54;10;11;2016;11366.8
55;11;11;2016;24321.05
56;12;11;2016;26884.32
57;13;11;2016;157785.15
58;14;11;2016;15340.96
59;15;11;2016;28600.3
60;16;11;2016;14983.05
61;17;11;2016;20429.6
62;18;11;2016;13177.45
63;19;11;2016;63304.9
64;20;11;2016;132453.98
65;23;11;2016;17170.31
66;24;11;2016;2539.5
67;25;11;2016;18377.22
68;26;11;2016;1921.7
69;27;11;2016;123103.61
70;28;11;2016;96
71;29;11;2016;9.8
72;30;11;2016;100
73;3;12;2016;33939.2
74;4;12;2016;158495.8
75;7;12;2016;20070.51
76;8;12;2016;100
77;9;12;2016;13203.01
78;10;12;2016;39776.98
79;11;12;2016;82579.9
80;12;12;2016;105790.14
81;14;12;2016;27202.6
82;15;12;2016;22820.26
83;16;12;2016;14581.71
84;17;12;2016;23871.12
85;18;12;2016;91317.45
86;19;12;2016;60226.11
87;21;12;2016;22895.9
88;22;12;2016;17499.45
89;23;12;2016;19535.6
90;24;12;2016;11564.2
91;25;12;2016;193650.37
92;26;12;2016;11779.4
93;27;12;2016;12860.66
94;28;12;2016;45404.81
95;29;12;2016;25980.96
96;30;12;2016;31875.42
97;31;12;2016;3133.2
98;1;1;2017;138911.85
99;2;1;2017;8843.97
100;4;1;2017;43708.04
101;5;1;2017;28248.8
102;6;1;2017;30190.1
103;7;1;2017;37600.9
104;8;1;2017;117292.15
105;9;1;2017;4695.41
106;11;1;2017;27395.32
107;12;1;2017;28002.2
108;13;1;2017;54867.35
109;14;1;2017;23345.06
110;15;1;2017;104567.4
111;16;1;2017;2502.1
112;18;1;2017;28924.62
113;19;1;2017;19767.75
114;20;1;2017;44417.5
115;21;1;2017;75885.57
116;22;1;2017;91224.76
117;25;1;2017;26738.32
118;26;1;2017;14021.4
119;27;1;2017;19147.21
120;28;1;2017;22141.9
121;29;1;2017;121237.6
122;30;1;2017;31440.32
123;1;2;2017;15874.22
124;2;2;2017;5706.94
125;3;2;2017;16712.91
126;4;2;2017;20637.2
127;5;2;2017;38024.81
128;7;2;2017;730
129;8;2;2017;20481.71
130;9;2;2017;8972.1
131;10;2;2017;11635.11
132;11;2;2017;11362.21
133;12;2;2017;65283.12
134;15;2;2017;17030.51
135;16;2;2017;8601.9
136;17;2;2017;12179.8
137;18;2;2017;11690.76
138;19;2;2017;48963.9
139;22;2;2017;12300.41
140;23;2;2017;11203.22
141;24;2;2017;8431
142;25;2;2017;50823.91
143;26;2;2017;77077.52
144;27;2;2017;75693.01
145;28;2;2017;43638.82
146;1;3;2017;9325.4
147;2;3;2017;2196
