index;mes;ano;valor
0;8;2016;15322.3
1;9;2016;763561.69
2;10;2016;1060060.55
3;11;2016;972638.69
4;12;2016;1090154.76
5;1;2017;1145117.6
6;2;2017;593055.09
7;3;2017;872141.22
8;4;2017;803613.69
9;5;2017;835288
10;6;2017;772101.88
11;7;2017;889074.9
12;8;2017;541552.24
13;9;2017;808593.92
14;10;2017;893019.58
15;11;2017;854380.61
16;12;2017;1113845.04
17;1;2018;663423.05
18;2;2018;517116.27
19;3;2018;534316.7
20;4;2018;830555.18
21;5;2018;628620.8
22;6;2018;759047.88
23;7;2018;711501.72
24;8;2018;700150.67
25;9;2018;747653.22
26;10;2018;635530.09
