index;mes;ano;volume
0;1;2013;7668
1;2;2013;103.092
2;3;2013;165.288
3;4;2013;133.764
4;5;2013;202.776
5;6;2013;228.336
6;7;2013;152.508
7;8;2013;192.552
8;9;2013;18744
9;10;2013;19.17
10;11;2013;130.356
11;12;2013;147.396
12;1;2014;141.432
13;2;2014;169.548
14;3;2014;197.664
15;4;2014;135.468
16;5;2014;18318
17;6;2014;166.992
18;7;2014;189.996
19;8;2014;172.956
20;9;2014;137.172
21;10;2014;12
22;11;2014;20022
23;12;2014;13242
24;1;2015;11112
25;2;2015;124.484
26;3;2015;165.604
27;4;2015;116.724
28;5;2015;209.592
29;6;2015;235.152
30;7;2015;115.872
31;8;2015;80.852
32;9;2015;135.784
33;10;2015;124.392
34;11;2015;95.424
35;12;2015;122.688
36;1;2016;15336
37;2;2016;202.776
38;3;2016;232.596
39;4;2016;21726
40;5;2016;34.08
41;6;2016;321.204
42;7;2016;350.172
43;8;2016;309.276
44;9;2016;164.436
45;10;2016;254.469
46;11;2016;168.435
47;12;2016;228.285
48;1;2017;159.885
49;2;2017;187.245
50;3;2017;28071
51;4;2017;317.796
52;5;2017;385.104
53;6;2017;412.412
54;7;2017;236.636
55;8;2017;273.492
56;9;2017;252.192
57;10;2017;239.412
58;11;2017;282.012
59;12;2017;220.668
