index;dia;mes;ano; valor ;index;mes;ano;valor
0;18;7;2014; 1,50 ;;7;2014;1,5
1;5;8;2014; 83,20 ;;8;2014;54228,86
2;8;8;2014; 22,50 ;;9;2014;79707,74
3;11;8;2014; 15,91 ;;10;2014;92994,49
4;12;8;2014; 0,44 ;;11;2014;99751,70
5;13;8;2014; 1.393,49 ;;12;2014;121334,26
6;14;8;2014; 2.100,92 ;;1;2015;80715,76
7;15;8;2014; 2.882,71 ;;2;2015;72224,63
8;16;8;2014; 3.893,80 ;;3;2015;73179,45
9;17;8;2014; 3.774,72 ;;4;2015;263512,38
10;18;8;2014; 1.687,77 ;;5;2015;325193,14
11;19;8;2014; 1.091,96 ;;6;2015;333163,07
12;20;8;2014; 1.659,50 ;;7;2015;402575,47
13;21;8;2014; 1.737,11 ;;8;2015;331405,31
14;22;8;2014; 3.388,52 ;;9;2015;294473,47
15;23;8;2014; 4.107,50 ;;10;2015;331473,15
16;24;8;2014; 4.626,87 ;;11;2015;337373,41
17;25;8;2014; 1.760,93 ;;12;2015;438262,95
18;26;8;2014; 1.640,58 ;;1;2016;398732,38
19;27;8;2014; 2.107,75 ;;2;2016;300369,98
20;28;8;2014; 2.690,52 ;;3;2016;307800,64
21;29;8;2014; 3.385,84 ;;4;2016;323850,44
22;30;8;2014; 5.117,44 ;;5;2016;338480,67
23;31;8;2014; 5.058,88 ;;6;2016;332429,23
24;1;9;2014; 2.284,99 ;;7;2016;408854,16
25;2;9;2014; 1.918,14 ;;8;2016;303855,82
26;3;9;2014; 2.508,91 ;;9;2016;343189,30
27;4;9;2014; 2.015,57 ;;10;2016;398158,72
28;5;9;2014; 4.133,71 ;;11;2016;390197,68
29;6;9;2014; 4.774,22 ;;12;2016;486007,35
30;7;9;2014; 3.598,60 ;;1;2017;469226,43
31;8;9;2014; 1.499,42 ;;2;2017;360349,55
32;9;9;2014; 1.164,88 ;;3;2017;417884,31
33;10;9;2014; 2.232,54 ;;4;2017;428958,07
34;11;9;2014; 1.592,50 ;;5;2017;355875,02
35;12;9;2014; 4.122,67 ;;6;2017;340212,38
36;13;9;2014; 4.046,96 ;;7;2017;407182,17
37;14;9;2014; 5.274,91 ;;8;2017;331542,19
38;15;9;2014; 1.194,44 ;;9;2017;330447,87
39;16;9;2014; 1.169,04 ;;10;2017;344800,27
40;17;9;2014; 1.816,80 ;;11;2017;366203,59
41;18;9;2014; 1.115,87 ;;12;2017;503843,42
42;19;9;2014; 3.534,05 ;;1;2018;449808,06
43;20;9;2014; 4.753,52 ;;2;2018;348243,37
44;21;9;2014; 4.410,94 ;;3;2018;382666,09
45;22;9;2014; 1.033,92 ;;4;2018;383273,38
46;23;9;2014; 1.534,57 ;;5;2018;418669,53
47;24;9;2014; 3.185,22 ;;6;2018;379383,08
48;25;9;2014; 1.676,89 ;;7;2018;482195,78
49;26;9;2014; 3.063,76 ;;8;2018;434308,16
50;27;9;2014; 4.096,49 ;;9;2018;438753,21
51;28;9;2014; 3.433,96 ;;10;2018;457025,59
52;29;9;2014; 1.388,30 ;;;;
53;30;9;2014; 1.131,95 ;;;;
54;1;10;2014; 1.876,60 ;;;;
55;2;10;2014; 1.386,10 ;;;;
56;3;10;2014; 2.099,46 ;;;;
57;4;10;2014; 5.499,34 ;;;;
58;5;10;2014; 3.751,07 ;;;;
59;6;10;2014; 2.303,57 ;;;;
60;7;10;2014; 2.044,36 ;;;;
61;8;10;2014; 2.826,99 ;;;;
62;9;10;2014; 1.869,38 ;;;;
63;10;10;2014; 3.947,65 ;;;;
64;11;10;2014; 5.913,40 ;;;;
65;12;10;2014; 4.906,76 ;;;;
66;13;10;2014; 1.379,80 ;;;;
67;14;10;2014; 1.801,87 ;;;;
68;15;10;2014; 3.115,89 ;;;;
69;16;10;2014; 1.945,09 ;;;;
70;17;10;2014; 3.753,12 ;;;;
71;18;10;2014; 4.663,95 ;;;;
72;19;10;2014; 3.275,96 ;;;;
73;20;10;2014; 908,50 ;;;;
74;21;10;2014; 1.606,26 ;;;;
75;22;10;2014; 1.986,30 ;;;;
76;23;10;2014; 2.764,46 ;;;;
77;24;10;2014; 3.548,29 ;;;;
